model;price;km;location;year
Audi Q3 1,4 TFSi 150 S-tr. ;279.700 kr.;61.000;Vestjylland;2018
Audi A1 30 TFSi Advanced Sportback S-tr. ;289.900 kr.;4.000;København;2021
Audi A4 40 TFSi S-line+ Avant S-tr. ;459.900 kr.;7.000;København;2020
Audi Q3 2,0 TFSi 180 Sport quattro S-tr. ;449.900 kr.;32.000;Østjylland;2018
Audi Q2 35 TFSi S-line S-tr. ;364.900 kr.;11.000;København;2021
Audi S3 2,0 TFSi Sportback quattro S-tr. ;689.900 kr.;12.000;København;2021
Audi A4 2,0 TFSi 252 Sport Avant S-tr. ;399.900 kr.;105.000;Nordjylland;2017
Audi Q2 35 TFSi Prestige S-tr. ;335.900 kr.;6.000;København;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;371.900 kr.;6.000;Østjylland;2021
Audi RS6 5,0 TFSi Avant quattro Tiptr. ;799.900 kr.;104.000;Fyn;2010
Audi RS6 5,0 TFSi Avant quattro Tiptr. ;419.900 kr.;211.000;Østjylland;2008
Audi A3 35 TFSi Prestige S-tr. ;369.900 kr.;6.000;Nordjylland;2021
Audi A3 40 TFSi Sport Limited Sportback S-tr. ;328.880 kr.;15.000;Østjylland;2019
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;488.900 kr.;8.000;Østjylland;2021
Audi A3 35 TFSi S-line Sportback S-tr. ;404.900 kr.;6.000;Nordjylland;2021
Audi A5 1,8 TFSi 144 Limited Sportback Multitr. ;279.900 kr.;88.000;København;2016
Audi A3 1,6 Ambiente ;39.900 kr.;172.000;Syd- og Vestsjælland;2006
Audi Q3 35 TFSi Advanced S-tr. ;389.900 kr.;8.000;Fyn;2020
Audi Q3 35 TFSi Advanced S-tr. ;389.900 kr.;10.000;Syd- og Sønderjylland;2020
Audi Q3 35 TFSi Advanced S-tr. ;404.900 kr.;4.000;Fyn;2020
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;384.900 kr.;46.000;Fyn;2018
Audi R8 4,2 FSi Spyder quattro S-tr. ;1.299.900 kr.;28.000;Østjylland;2014
Audi Q3 2,0 TFSi 180 Sport quattro S-tr. ;299.000 kr.;100.000;Østjylland;2017
Audi A4 1,8 TFSi 170 S-line Avant Multitr. ;229.900 kr.;143.000;Syd- og Sønderjylland;2013
Audi A4 2,0 Avant ;79.800 kr.;143.000;Fyn;2008
Audi Q5 2,0 TFSi 211 quattro S-tr. ;269.900 kr.;132.000;Syd- og Vestsjælland;2012
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;478.900 kr.;6.000;Østjylland;2021
Audi Q3 1,4 TFSi 150 Limited S-tr. ;294.900 kr.;68.000;Fyn;2018
Audi Q2 30 TFSi Prestige ;279.900 kr.;6.000;Nordjylland;2020
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;474.900 kr.;12.000;Syd- og Vestsjælland;2020
Audi A3 35 TFSi Prestige S-tr. ;373.900 kr.;6.000;Østjylland;2021
Audi A5 1,8 TFSi 170 Cabriolet Multitr. ;389.900 kr.;102.000;Nordjylland;2015
Audi A4 40 TFSi Prestige+ Avant S-tr. ;448.900 kr.;13.000;København;2021
Audi A3 1,0 TFSi 116 Sport ;199.900 kr.;69.000;Nordjylland;2018
Audi A3 1,4 TFSi 150 Sport S-tr. ;329.900 kr.;55.000;Østjylland;2017
Audi A1 1,0 TFSi 95 Ultra Sportback ;174.999 kr.;20.000;København;2017
Audi SQ5 3,0 TFSi quattro Tiptr. ;799.995 kr.;59.000;København;2018
Audi A3 35 TFSi Prestige S-tr. ;377.900 kr.;6.000;Nordjylland;2021
Audi A4 35 TFSi S-line+ S-tr. ;439.900 kr.;3.000;Fyn;2020
Audi A1 1,4 TFSi 185 S-line Sportback S-tr. ;164.800 kr.;112.000;Syd- og Vestsjælland;2012
Audi Q3 35 TFSi Sportback S-tr. ;419.900 kr.;15.000;Nordjylland;2020
Audi A4 1,8 TFSi 120 Avant ;269.900 kr.;24.000;København;2015
Audi Q3 35 TFSi Sportback S-tr. ;399.900 kr.;6.000;Østjylland;2020
Audi A3 1,8 TFSi Ambiente Sportback ;99.800 kr.;136.000;Vestjylland;2009
Audi A3 1,4 TFSi 122 Ambition Sportback ;149.900 kr.;151.000;Nordjylland;2013
Audi A5 40 TFSi S-line+ Sportback S-tr. ;555.900 kr.;6.000;København;2021
Audi A5 40 TFSi S-line+ Sportback S-tr. ;541.900 kr.;6.000;København;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;371.900 kr.;9.000;Østjylland;2021
Audi S8 4,0 TFSi quattro Tiptr. ;599.900 kr.;55.000;Syd- og Sønderjylland;2012
Audi TT 1,8 T 180 Coupé ;49.000 kr.;270.000;Østjylland;1999
Audi A3 1,0 TFSi 116 Sportback S-tr. ;234.900 kr.;36.000;København;2018
Audi Q2 1,0 TFSi 116 ;219.900 kr.;59.000;København;2017
Audi A4 40 TFSi Avant ;309.800 kr.;13.000;Nordsjælland;2019
Audi A3 1,0 TFSi 116 Sportback ;209.800 kr.;47.000;Nordsjælland;2018
Audi A3 1,4 TFSi 122 Ambition Sportback ;169.900 kr.;67.000;Nordjylland;2013
Audi Q3 35 TFSi Advanced S-tr. ;404.900 kr.;11.000;Fyn;2020
Audi Q3 35 TFSi Advanced S-tr. ;404.900 kr.;7.000;Fyn;2020
Audi A3 35 TFSi Prestige S-tr. ;382.900 kr.;6.000;København;2021
Audi Q5 45 TFSi Sport quattro S-tr. ;649.900 kr.;9.000;Nordjylland;2020
Audi A3 1,4 TFSi 140 Ambition Cabriolet ;254.500 kr.;52.000;Syd- og Vestsjælland;2014
Audi A4 40 TFSi Advanced+ Avant S-tr. ;419.900 kr.;5.000;København;2020
Audi A3 1,4 TFSi 122 Ambition Sportback S-tr. ;179.900 kr.;116.000;Lolland-Falster;2013
Audi A3 35 TFSi Sport Limited Sportback S-tr. ;299.000 kr.;10.000;Fyn;2019
Audi A5 40 TFSi Sport Coupé S-tr. ;459.900 kr.;22.000;Syd- og Vestsjælland;2019
Audi Q3 35 TFSi Advanced S-tr. ;419.900 kr.;11.000;Fyn;2021
Audi Q3 35 TFSi Advanced S-tr. ;374.800 kr.;22.000;Syd- og Vestsjælland;2019
Audi A6 2,0 TFSi 252 S-tr. ;319.900 kr.;66.000;Syd- og Sønderjylland;2016
Audi SQ5 3,0 TFSi quattro Tiptr. ;799.500 kr.;58.000;Syd- og Vestsjælland;2018
Audi A4 40 TFSi Sport S-tr. ;329.800 kr.;20.000;Østjylland;2019
Audi Q3 35 TFSi Advanced S-tr. ;394.900 kr.;8.000;Fyn;2020
Audi A4 2,0 TFSi 190 Avant S-tr. ;304.900 kr.;50.000;Syd- og Sønderjylland;2018
Audi A4 1,6 Avant ;53.900 kr.;244.000;København;2007
Audi Q5 2,0 TFSi 225 quattro Tiptr. ;349.900 kr.;94.000;København;2014
Audi A5 1,8 TFSi 170 Sportback ;204.980 kr.;156.000;Østjylland;2014
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;399.900 kr.;18.000;Vestjylland;2018
Audi A3 1,5 TFSi 150 Sport Sportback S-tr. ;279.900 kr.;26.000;Østjylland;2018
Audi S1 2,0 TFSi Sportback quattro ;354.900 kr.;42.000;Nordjylland;2018
Audi A5 2,0 TFSi 180 Coupé ;124.900 kr.;178.000;Østjylland;2011
Audi A5 2,0 TFSi 190 Sport Sportback ;299.900 kr.;100.000;København;2018
Audi A6 2,8 FSi Multitr. ;299.900 kr.;128.000;København;2012
Audi Q3 35 TFSi Advanced S-tr. ;389.900 kr.;9.000;Syd- og Vestsjælland;2021
Audi A1 1,4 TFSi 185 Ambition S-line S-tr. ;159.999 kr.;134.000;Fyn;2013
Audi A3 30 TFSi Sport Sportback ;259.700 kr.;11.000;Vestjylland;2019
Audi A3 1,5 TFSi 150 Sport Sportback S-tr. ;349.900 kr.;15.000;Nordsjælland;2018
Audi Q2 1,4 TFSi 150 Sport S-tr. ;269.900 kr.;29.000;Fyn;2017
Audi Q2 30 TFSi Prestige ;289.900 kr.;6.000;København;2021
Audi A6 3,0 TFSi Avant quattro S-tr. ;324.900 kr.;135.000;København;2012
