model;price;km;location;year
Audi A6 2,0 TDi 177 S-line Multitr. ;229.900 kr.;166.000;Østjylland;2014
Audi Q5 2,0 TDi 190 quattro S-tr. ;499.900 kr.;68.000;Nordjylland;2017
Audi Q7 3,0 TDi 272 quattro Tiptr. 7prs ;849.900 kr.;55.000;Nordjylland;2018
Audi SQ5 3,0 TDi 340 Plus quattro Tiptr. ;699.900 kr.;54.000;Nordjylland;2016
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;189.900 kr.;58.000;Østjylland;2017
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.179.800 kr.;65.000;Syd- og Sønderjylland;2017
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;629.900 kr.;64.000;Nordjylland;2017
Audi A4 2,0 TDi 177 S-line Avant quattro S-tr. ;259.900 kr.;105.000;Syd- og Sønderjylland;2014
Audi A4 2,0 TDi 143 S-line Avant Multitr. ;109.900 kr.;299.000;Vestjylland;2010
Audi A6 2,0 TDi 190 Ultra S-tr. ;346.995 kr.;73.000;København;2017
Audi A4 3,0 TDi 272 S-line Avant quattro Tiptr. ;499.900 kr.;93.000;Fyn;2017
Audi A3 2,0 TDi 150 Ambition S-tr. ;219.900 kr.;64.000;Syd- og Sønderjylland;2016
Audi A6 allroad 3,0 TDi 320 quattro Tiptr. ;549.900 kr.;106.000;Fyn;2016
Audi A3 35 TDi S-line Sportback S-tr. ;414.900 kr.;14.000;Nordjylland;2021
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;875.000 kr.;58.000;Fyn;2017
Audi A4 2,0 TDi 170 Avant ;54.800 kr.;403.000;Nordjylland;2009
Audi A6 3,0 TDi 313 S-line Avant quattro Tiptr. ;369.500 kr.;165.000;Østjylland;2013
Audi SQ5 3,0 TDi 326 Competition quattro Tiptr. ;684.800 kr.;71.000;Syd- og Sønderjylland;2017
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;949.800 kr.;46.000;Syd- og Sønderjylland;2017
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;949.800 kr.;64.000;Syd- og Sønderjylland;2018
Audi Q3 2,0 TDi 150 S-line quattro S-tr. ;249.800 kr.;90.978;Vestjylland;2015
Audi A6 3,0 TDi 245 Avant quattro S-tr. ;219.900 kr.;246.000;Syd- og Sønderjylland;2011
Audi A4 40 TDi Advanced+ Avant S-tr. ;461.900 kr.;14.000;København;2020
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. ;619.321 kr.;120.000;Nordjylland;2016
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;599.321 kr.;80.000;Nordjylland;2017
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;379.500 kr.;149.000;Syd- og Sønderjylland;2014
Audi Q7 3,0 TDi 245 S-line quattro Tiptr. 7prs ;449.500 kr.;167.000;Syd- og Sønderjylland;2014
Audi A6 2,7 TDi 190 S-line Avant ;109.000 kr.;254.000;Syd- og Sønderjylland;2011
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. ;734.321 kr.;98.000;Nordjylland;2017
Audi Q3 35 TDi Advanced S-tr. ;402.900 kr.;6.000;Østjylland;2021
Audi Q5 2,0 TDi 170 quattro ;199.900 kr.;142.000;Østjylland;2012
Audi Q5 3,0 TDi 258 quattro S-tr. ;340.000 kr.;150.000;Syd- og Vestsjælland;2016
Audi A3 1,6 TDi 116 Sportback S-tr. ;219.900 kr.;63.000;Østjylland;2017
Audi A4 2,0 TDi 190 Avant S-tr. ;339.700 kr.;127.000;Østjylland;2017
Audi A6 3,0 TDi 245 quattro S-tr. ;65.000 kr.;297.000;Syd- og Sønderjylland;2011
Audi A5 2,0 TDi 190 S-line Sportback Multitr. ;249.900 kr.;88.000;Syd- og Sønderjylland;2015
Audi A3 35 TDi Sport ;229.800 kr.;143.000;Fyn;2018
Audi A3 1,6 TDi Ambiente Sportback S-tr. ;147.500 kr.;190.000;Syd- og Vestsjælland;2014
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;499.900 kr.;122.000;Syd- og Vestsjælland;2015
Audi A4 2,0 TDi 190 Sport Avant quattro S-tr. ;349.900 kr.;53.000;Vestjylland;2016
Audi Q3 35 TDi Prestige S-tr. ;389.900 kr.;6.000;Nordjylland;2021
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;519.900 kr.;99.000;Syd- og Sønderjylland;2018
Audi Q5 3,0 TDi 245 S-line quattro S-tr. ;239.900 kr.;242.000;Østjylland;2013
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;499.900 kr.;49.000;Østjylland;2017
Audi A6 2,0 TDi 190 S-line S-tr. ;340.000 kr.;68.000;Østjylland;2018
Audi Q3 2,0 TDi 184 S-line quattro S-tr. ;309.900 kr.;125.000;Syd- og Sønderjylland;2016
Audi A6 3,0 TDi 272 Avant quattro S-tr. ;459.500 kr.;133.000;Syd- og Sønderjylland;2017
Audi A3 35 TDi Prestige Sportback S-tr. ;369.900 kr.;6.000;Nordjylland;2021
Audi A6 3,0 TDi 245 Avant quattro S-tr. ;229.800 kr.;180.000;Østjylland;2011
Audi Q3 2,0 TDi 140 S-line quattro S-tr. ;229.900 kr.;157.000;Østjylland;2014
Audi A4 2,0 TDi 150 S-line Avant S-tr. ;319.500 kr.;144.000;Nordjylland;2018
Audi A4 40 TDi Prestige+ Avant S-tr. ;469.900 kr.;6.000;Nordjylland;2020
Audi A4 2,0 TDi 150 Avant ;189.900 kr.;99.000;Vestjylland;2014
Audi A6 allroad 50 TDi quattro Tiptr. ;909.900 kr.;12.000;Syd- og Sønderjylland;2020
Audi A3 35 TDi Sport Limited Sportback S-tr. ;299.900 kr.;22.000;Østjylland;2019
Audi A6 2,0 TDi 177 Multitr. ;189.900 kr.;135.000;Østjylland;2013
Audi A6 3,0 TDi 326 Competition Avant quattro Tiptr. ;606.900 kr.;121.000;Østjylland;2017
Audi A3 35 TDi Prestige S-tr. ;382.900 kr.;6.000;Nordjylland;2021
Audi Q5 2,0 TDi 177 quattro S-tr. ;329.900 kr.;145.000;Nordjylland;2015
Audi A3 35 TDi Prestige Sportback S-tr. ;364.900 kr.;6.000;Nordjylland;2021
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;329.800 kr.;108.000;Østjylland;2016
Audi A6 3,0 TDi 313 Avant quattro Tiptr. ;299.800 kr.;146.000;Østjylland;2013
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.179.900 kr.;89.000;Syd- og Vestsjælland;2017
Audi A5 2,0 TDi 177 Sportback Multitr. ;169.900 kr.;206.000;Syd- og Sønderjylland;2013
Audi A8 50 TDi quattro Tiptr. ;999.900 kr.;82.000;Syd- og Sønderjylland;2018
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;329.900 kr.;94.000;Syd- og Sønderjylland;2017
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;939.900 kr.;63.000;Nordjylland;2018
