model;price;km;location;year
Audi e-tron 55 Advanced quattro ;719.900 kr.;4.000;København;2020
Audi e-tron 55 Advanced quattro ;719.900 kr.;5.000;København;2020
Audi e-tron 55 Advanced quattro ;729.900 kr.;9.000;Nordjylland;2020
Audi e-tron 55 S-line quattro ;719.800 kr.;17.000;Syd- og Sønderjylland;2020
Audi e-tron 55 S-line quattro ;785.000 kr.;4.000;Fyn;2020
Audi e-tron 50 Advanced Prestige quattro ;580.000 kr.;13.000;København;2020
Audi e-tron 50 Advanced Prestige quattro ;609.900 kr.;6.000;Fyn;2020
Audi e-tron 50 Advanced Prestige Sportback quattro ;639.900 kr.;5.000;Fyn;2020
Audi e-tron 55 S-line quattro ;799.800 kr.;8.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;799.000 kr.;22.000;Nordjylland;2020
Audi e-tron 55 S-line quattro ;814.544 kr.;15.000;København;2020
Audi e-tron 55 Advanced quattro ;669.900 kr.;22.000;Nordjylland;2019
Audi e-tron 55 Advanced Prestige quattro ;669.900 kr.;27.000;København;2020
Audi e-tron 55 Advanced quattro ;819.900 kr.;10.000;Østjylland;2019
Audi e-tron 50 S-line quattro ;564.900 kr.;14.000;Nordsjælland;2020
Audi e-tron 50 Prestige Sportback quattro ;638.800 kr.;12;Syd- og Vestsjælland;2020
Audi e-tron 55 S-line Sportback quattro ;875.000 kr.;7.000;Syd- og Sønderjylland;2020
Audi e-tron 55 S-line Sportback quattro ;855.000 kr.;11.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced Prestige quattro ;739.800 kr.;14.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced Prestige quattro ;799.800 kr.;19.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;789.900 kr.;6.000;Syd- og Vestsjælland;2020
Audi e-tron 55 Advanced quattro ;629.900 kr.;48.000;Østjylland;2019
Audi e-tron 50 Advanced Prestige quattro ;569.900 kr.;13.000;Nordjylland;2020
Audi e-tron 55 Advanced quattro ;839.900 kr.;11.000;Fyn;2020
Audi e-tron S quattro ;1.259.900 kr.;4.000;København;2021
Audi e-tron 50 S-line quattro ;644.900 kr.;11.000;København;2021
Audi e-tron 50 Advanced quattro ;559.900 kr.;11.000;København;2021
Audi e-tron 50 Advanced Prestige Sportback quattro ;684.900 kr.;11.000;Syd- og Sønderjylland;2021
Audi e-tron 50 S-line Sportback quattro ;554.900 kr.;6.000;Nordjylland;2021
Audi e-tron 55 S-line Sportback quattro ;869.900 kr.;12.000;Syd- og Vestsjælland;2020
Audi e-tron 50 Advanced quattro ;549.900 kr.;11.000;Nordjylland;2021
Audi e-tron 50 S-line quattro ;734.900 kr.;9.000;Syd- og Sønderjylland;2020
Audi e-tron 50 Advanced quattro ;562.900 kr.;9.000;København;2021
Audi e-tron GT quattro ;1.149.900 kr.;6.000;Nordjylland;2021
Audi e-tron 55 Advanced quattro ;719.900 kr.;19.000;Nordsjælland;2020
Audi e-tron 55 Advanced quattro ;745.000 kr.;10.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;599.800 kr.;11.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;489.000 kr.;13.000;Østjylland;2019
Audi e-tron 50 S-line quattro ;5.844 kr.;14.000;Nordjylland;2020
Audi e-tron 55 Advanced quattro ;490.000 kr.;31.000;København;2019
Audi e-tron 55 Advanced quattro ;649.900 kr.;22.000;Fyn;2019
Audi e-tron 55 Advanced quattro ;699.900 kr.;8.000;Østjylland;2020
Audi e-tron 55 Advanced quattro ;619.900 kr.;2.000;København;2020
Audi e-tron 55 Advanced quattro ;649.900 kr.;23.000;Østjylland;2019
Audi e-tron 55 Advanced quattro ;599.900 kr.;26.000;København;2019
Audi e-tron S quattro ;795.000 kr.;7.000;Syd- og Sønderjylland;2020
Audi e-tron 55 S-line Sportback quattro ;819.900 kr.;1.000;Østjylland;2020
Audi e-tron 55 S-line Sportback quattro ;779.900 kr.;22.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;635.000 kr.;31.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;829.800 kr.;18.000;København;2019
Audi e-tron 55 Advanced quattro ;628.800 kr.;14.900;Syd- og Vestsjælland;2019
Audi e-tron 50 Advanced Prestige Sportback quattro ;679.900 kr.;6.000;København;2021
Audi e-tron 55 Advanced Prestige Sportback quattro ;789.800 kr.;0;Syd- og Vestsjælland;2020
Audi e-tron 55 Advanced quattro ;638.800 kr.;18.900;Syd- og Vestsjælland;2019
Audi e-tron 55 S-line quattro ;925.000 kr.;2.000;København;2020
Audi e-tron 55 S-line Sportback quattro ;779.900 kr.;22.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;635.000 kr.;31.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;629.900 kr.;30.000;Nordsjælland;2020
Audi e-tron 55 Advanced quattro ;829.800 kr.;18.000;København;2019
Audi e-tron 50 S-line Prestige Sportback quattro ;644.900 kr.;6.000;Nordjylland;2021
Audi e-tron 55 Advanced quattro ;749.900 kr.;23.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;628.800 kr.;14.900;Syd- og Vestsjælland;2019
Audi e-tron 50 Advanced Prestige quattro ;559.900 kr.;10.000;København;2020
Audi e-tron 55 Advanced Prestige quattro ;799.900 kr.;23.000;Nordjylland;2020
Audi e-tron 55 Advanced Prestige Sportback quattro ;789.800 kr.;0;Syd- og Vestsjælland;2020
Audi e-tron GT quattro ;1.149.000 kr.;6.000;Østjylland;2021
Audi e-tron 50 Advanced Prestige quattro ;559.900 kr.;13.000;København;2020
Audi e-tron 55 Advanced Prestige quattro ;799.800 kr.;12.000;Syd- og Sønderjylland;2020
Audi e-tron 50 Advanced Prestige quattro ;607.900 kr.;6.000;Østjylland;2020
Audi e-tron 55 Advanced quattro ;739.900 kr.;15.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;638.800 kr.;18.900;Syd- og Vestsjælland;2019
Audi e-tron 50 Advanced Prestige quattro ;659.900 kr.;16.000;Nordjylland;2020
Audi e-tron 55 S-line quattro ;925.000 kr.;2.000;København;2020
Audi e-tron 55 S-line quattro ;839.000 kr.;6.000;Nordjylland;2020
