model;type;price;km;location;year;link
Audi Q2;30 TFSi Sport;275900;6.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-sport/1737957
Audi Q2;30 TFSi Prestige;282900;4.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1775379
Audi A3;35 TFSi Prestige;329900;10.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige/1738081
Audi Q2;30 TFSi Prestige;284900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1759265
Audi A1;30 TFSi Sportback;274900;4.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a1/30-tfsi-sportback/1738770
Audi Q2;30 TFSi Prestige;289900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1748473
Audi Q2;30 TFSi Prestige;289900;15.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1743602
Audi Q2;30 TFSi Prestige;280900;5.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1757559
Audi Q2;30 TFSi Prestige;279900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1776340
Audi Q2;1,0 TFSi 116;219900;59.000;Kastrup;2017;https://www.biltorvet.dk/bil/audi/q2/1-0-tfsi-116/1774455
Audi Q2;30 TFSi Prestige;299900;6.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1738240
Audi Q2;30 TFSi Prestige;279900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q2/30-tfsi-prestige/1738264
Audi Q3;35 TFSi S-tr.;364900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-s-tr/1737955
Audi A3;35 TFSi Prestige Sportback;369900;6.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback/1738796
Audi A3;1,0 TFSi 116 Sport Sportback;209900;92.000;Fredericia;2017;https://www.biltorvet.dk/bil/audi/a3/1-0-tfsi-116-sport-sportback/1738113
Audi A3;35 TFSi Prestige S-tr.;409900;8.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738750
Audi A3;35 TFSi Prestige S-tr.;399900;5.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738748
Audi SQ5;3,0 TFSi quattro Tiptr.;769900;62.000;Kastrup;2018;https://www.biltorvet.dk/bil/audi/sq5/3-0-tfsi-quattro-tiptr/1738711
Audi A3;30 TFSi Attitude Sportback;282900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/30-tfsi-attitude-sportback/1763858
Audi S3;2,0 TFSi quattro S-tr.;724900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/s3/2-0-tfsi-quattro-s-tr/1738249
Audi A3;35 TFSi Prestige Sportback S-tr.;379900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1776711
Audi A3;35 TFSi Prestige Sportback S-tr.;389900;4.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738713
Audi A3;35 TFSi Prestige Sportback S-tr.;389900;11.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738736
Audi A3;35 TFSi Prestige Sportback S-tr.;389900;9.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738755
Audi A3;35 TFSi Prestige Sportback;339900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback/1738166
Audi Q3;35 TFSi S-tr.;369900;7.000;Odense;2021;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-s-tr/1764950
Audi Q3;35 TFSi S-tr.;354900;30.000;Odense;2019;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-s-tr/1777233
Audi SQ5;3,0 TFSi quattro Tiptr.;749900;69.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/sq5/3-0-tfsi-quattro-tiptr/1779831
Audi Q3;35 TFSi Advanced S-tr.;389900;5.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1737943
Audi A3;35 TFSi Prestige Sportback S-tr.;344900;4.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1746297
