model;type;price;km;location;year;link
Audi Q7;3,0 TDi 272 quattro Tiptr. 7prs;584900;156.000;Aalborg;2016;https://www.biltorvet.dk/bil/audi/q7/3-0-tdi-272-quattro-tiptr--7prs/1738260
Audi A6;50 TDi Sport quattro Tiptr.;549900;36.000;Kastrup;2019;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-quattro-tiptr/1738720
Audi A1;1,6 TDi 116 Sport Sportback;139900;95.000;Fredericia;2017;https://www.biltorvet.dk/bil/audi/a1/1-6-tdi-116-sport-sportback/1776431
Audi A3;2,0 TDi 150 Ambition;169900;102.000;Aalborg;2014;https://www.biltorvet.dk/bil/audi/a3/2-0-tdi-150-ambition/1768495
Audi A4;45 TDi Prestige+ Avant quat Tiptr;499900;14.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a4/45-tdi-prestige--avant-quat-tiptr/1738089
Audi A6 Allroad;50 TDi quattro Tiptr.;810900;3.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a6-allroad/50-tdi-quattro-tiptr/1738032
Audi Q5;50 TDi Sport quattro Tiptr.;899900;10.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/q5/50-tdi-sport-quattro-tiptr/1738314
Audi A5;40 TDi Advanced+ Sportback S-tr.;459900;30.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced--sportback-s-tr/1775509
Audi A6 Allroad;50 TDi quattro Tiptr.;909900;12.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a6-allroad/50-tdi-quattro-tiptr/1738094
Audi SQ5;3,0 TDi 340 Plus quattro Tiptr.;699900;54.000;Aalborg;2016;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-340-plus-quattro-tiptr/1738159
Audi A1;1,6 TDi 90 Ambition Sportback;109900;104.000;Risskov;2012;https://www.biltorvet.dk/bil/audi/a1/1-6-tdi-90-ambition-sportback/1754099
Audi A6 Allroad;50 TDi quattro Tiptr.;944900;11.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a6-allroad/50-tdi-quattro-tiptr/1738136
Audi Q8;50 TDi quattro Tiptr.;1725900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q8/50-tdi-quattro-tiptr/1738354
Audi Q2;1,6 TDi 116 Sport;234900;46.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/q2/1-6-tdi-116-sport/1760300
Audi A3;1,6 TDi 110 Attraction Cabriolet;219900;82.000;Aalborg;2015;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-110-attraction-cabriolet/1762777
Audi A4;40 TDi Prestige+ Avant S-tr.;444900;8.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1738084
Audi A5;40 TDi Advanced+ Sportback S-tr.;484900;7.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced--sportback-s-tr/1754274
Audi A5;40 TDi Prestige+ Sportback S-tr.;484900;5.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a5/40-tdi-prestige--sportback-s-tr/1777232
Audi S6;3,0 TDi Avant quattro Tiptr.;1224900;37.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/s6/3-0-tdi-avant-quattro-tiptr/1738365
Audi S6;3,0 TDi Avant quattro Tiptr.;1299900;12.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/s6/3-0-tdi-avant-quattro-tiptr/1738187
Audi A6;50 TDi Sport Avant quattro Tiptr.;799900;18.000;Kokkedal;2020;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-avant-quattro-tiptr/1738680
Audi A6;50 TDi Sport Avant quattro Tiptr.;679900;20.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-avant-quattro-tiptr/1755312
Audi A3;35 TDi Prestige S-tr.;434900;11.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-s-tr/1738062
Audi A3;35 TDi Prestige S-tr.;399900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-s-tr/1738313
Audi Q5;40 TDi Sport quattro S-tr.;617900;11.000;Risskov;2019;https://www.biltorvet.dk/bil/audi/q5/40-tdi-sport-quattro-s-tr/1738290
Audi A6;50 TDi Sport Avant quattro Tiptr.;639900;30.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-avant-quattro-tiptr/1738275
Audi Q5;3,0 TDi 286 Sport quattro Tiptr.;719900;46.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/q5/3-0-tdi-286-sport-quattro-tiptr/1752477
Audi Q7;3,0 TDi 272 quattro Tiptr. 7prs;619900;118.000;Søborg;2016;https://www.biltorvet.dk/bil/audi/q7/3-0-tdi-272-quattro-tiptr--7prs/1765854
Audi A6;40 TDi Sport Avant S-tr.;603900;30.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1773437
Audi A4;35 TDi Prestige+ Avant S-tr.;439900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige--avant-s-tr/1776061
Audi A4;40 TDi Advanced+ S-tr.;434900;10.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-advanced--s-tr/1738292
Audi SQ5;3,0 TDi 326 quattro Tiptr.;499900;110.000;Kastrup;2016;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-326-quattro-tiptr/1738723
Audi A1;1,6 TDi 116 Sport Sportback;144900;67.000;Risskov;2016;https://www.biltorvet.dk/bil/audi/a1/1-6-tdi-116-sport-sportback/1756350
Audi A3;35 TDi Prestige Sportback S-tr.;372900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738195
Audi A3;35 TDi Prestige Sportback S-tr.;364900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738204
Audi A3;35 TDi Prestige Sportback S-tr.;369900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738202
