model;type;price;km;location;year;link
Audi E-tron;55 Advanced quattro;749900;9.000;Holbæk;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738638
Audi E-tron;50 Prestige quattro;574900;9.000;Kokkedal;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-prestige-quattro/1738667
Audi E-tron;quattro;1259900;4.000;Søborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/quattro/1738021
Audi E-tron;55 Advanced quattro;779900;14.000;Kastrup;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738718
Audi E-tron;55 Advanced quattro;739900;15.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738123
Audi E-tron;50 Advanced quattro;559900;11.000;Søborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-quattro/1737958
Audi E-tron;50 Advanced quattro;564900;8.000;Søborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-quattro/1737962
Audi E-tron;50 Advanced quattro;562900;9.000;Søborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-quattro/1737980
Audi E-tron;50 Advanced quattro;579900;4.000;Kastrup;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-quattro/1738735
Audi E-tron;55 Advanced Prestige quattro;669900;27.000;Kokkedal;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1738699
Audi E-tron;55 Advanced quattro;799900;20.000;Søborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1737953
Audi E-tron;50 Prestige quattro;519900;9.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-prestige-quattro/1738095
Audi E-tron;55 Advanced quattro;819900;10.000;Risskov;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738291
Audi E-tron;55 Advanced quattro;799000;22.000;Aalborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1760597
Audi E-tron;55 Advanced quattro;719900;4.000;Kokkedal;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738679
Audi E-tron;55 Advanced quattro;839900;11.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738791
Audi e-tron GT;quattro;1149000;6.000;Risskov;2021;https://www.biltorvet.dk/elbiler/audi/-/quattro/1740025
Audi E-tron;55 Advanced quattro;669900;22.000;Aalborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738266
Audi E-tron;55 Advanced quattro;744900;12.000;Risskov;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738324
Audi E-tron;55 Advanced quattro;779900;19.000;Risskov;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738317
Audi E-tron;55 Advanced quattro;719900;5.000;Kokkedal;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738678
Audi E-tron;55 Advanced quattro;729900;9.000;Aalborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1738194
Audi e-tron GT;quattro;1149900;6.000;Aalborg;2021;https://www.biltorvet.dk/elbiler/audi/-/quattro/1776121
Audi E-tron;50 Advanced quattro;549900;11.000;Aalborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-quattro/1765594
Audi E-tron;55 Advanced Prestige quattro;759900;9.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1738107
Audi E-tron;50 Advanced Prestige quattro;559900;10.000;Søborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1737945
Audi E-tron;50 S-line quattro;639900;8.000;Søborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-quattro/1738005
Audi E-tron;50 Advanced Prestige Sportback quattro;679900;6.000;Kokkedal;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-sportback-quattro/1779286
Audi E-tron;50 Advanced Prestige quattro;559900;13.000;Søborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738003
Audi E-tron;50 Advanced Prestige quattro;609900;6.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738799
Audi E-tron;50 Advanced Prestige quattro;569900;13.000;Aalborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738253
Audi E-tron;50 Advanced Prestige quattro;607900;6.000;Risskov;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738304
Audi E-tron;50 S-line Sportback quattro;554900;6.000;Aalborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-sportback-quattro/1738251
Audi E-tron;50 S-line quattro;734900;9.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-quattro/1738065
Audi E-tron;50 Advanced Prestige Sportback quattro;684900;11.000;Fredericia;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-sportback-quattro/1738083
Audi E-tron;50 Advanced Prestige quattro;629900;7.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738085
Audi E-tron;50 Advanced Prestige quattro;654900;9.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738086
Audi E-tron;50 Advanced Prestige Sportback quattro;714900;7.000;Fredericia;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-sportback-quattro/1738087
